证券名称,证券代码,交易日期,前收价,开盘价,最高价,最低价,收盘价,涨跌幅(%),成交量(万份),成交额(万元),数据完整性
,,,,,,,,,,,否
,,,,,,,,,,,否
,,,,,,,,,,,否
,,,,,,,,,,,否
1000ETF,159629,2026-01-05,3.118,3.137,3.187,3.126,3.185,2.15,"3,153.68","9,950.69",是
1000ETF,159629,2026-01-06,3.185,3.183,3.230,3.183,3.229,1.38,"3,669.21","11,777.24",是
1000ETF,159629,2026-01-07,3.229,3.228,3.256,3.226,3.245,0.50,"5,996.67","19,447.28",是
1000ETF,159629,2026-01-08,3.245,3.246,3.282,3.229,3.272,0.83,"2,176.13","7,096.84",是
1000ETF,159629,2026-01-09,3.272,3.272,3.346,3.271,3.343,2.17,"7,253.38","24,014.06",是
,,,,,,,,,,,否
,,,,,,,,,,,否
1000ETF,159629,2026-01-12,3.343,3.358,3.459,3.353,3.441,2.93,"7,083.92","24,213.13",是
1000ETF,159629,2026-01-13,3.441,3.445,3.450,3.361,3.382,-1.71,"6,396.89","21,747.58",是
1000ETF,159629,2026-01-14,3.382,3.365,3.463,3.341,3.384,0.06,"13,973.99","47,596.28",是
1000ETF,159629,2026-01-15,3.384,3.383,3.392,3.344,3.382,-0.06,"3,478.86","11,731.01",是
1000ETF,159629,2026-01-16,3.382,3.386,3.416,3.339,3.383,0.03,"36,050.10","121,370.08",是
,,,,,,,,,,,否
,,,,,,,,,,,否
1000ETF,159629,2026-01-19,3.383,3.374,3.407,3.349,3.393,0.30,"48,021.33","162,659.99",是
1000ETF,159629,2026-01-20,3.393,3.392,3.403,3.324,3.351,-1.24,"26,012.43","87,390.29",是
1000ETF,159629,2026-01-21,3.351,3.348,3.405,3.335,3.382,0.93,"78,343.46","264,852.11",是
1000ETF,159629,2026-01-22,3.382,3.392,3.414,3.382,3.410,0.83,"55,433.42","188,197.05",是
1000ETF,159629,2026-01-23,3.410,3.410,3.490,3.410,3.490,2.35,"45,270.33","155,990.91",是
,,,,,,,,,,,否
,,,,,,,,,,,否
1000ETF,159629,2026-01-26,3.490,3.480,3.505,3.401,3.428,-1.78,"45,895.00","158,174.63",是
1000ETF,159629,2026-01-27,3.428,3.424,3.453,3.355,3.453,0.73,"29,131.36","99,463.86",是
1000ETF,159629,2026-01-28,3.453,3.445,3.456,3.413,3.441,-0.35,"46,274.37","158,921.56",是
1000ETF,159629,2026-01-29,3.441,3.437,3.477,3.408,3.420,-0.61,"20,262.08","69,724.71",是
1000ETF,159629,2026-01-30,3.420,3.402,3.416,3.309,3.382,-1.11,"6,824.53","23,037.08",是
,,,,,,,,,,,否
,,,,,,,,,,,否
1000ETF,159629,2026-02-02,3.382,3.340,3.376,3.250,3.252,-3.84,"17,892.24","59,041.29",是
1000ETF,159629,2026-02-03,3.252,3.290,3.375,3.277,3.375,3.78,"8,312.50","27,713.08",是
1000ETF,159629,2026-02-04,3.375,3.372,3.375,3.320,3.357,-0.53,"6,787.41","22,665.60",是
1000ETF,159629,2026-02-05,3.357,3.339,3.344,3.287,3.312,-1.34,"5,369.77","17,776.98",是
1000ETF,159629,2026-02-06,3.312,3.295,3.346,3.256,3.300,-0.36,"11,129.02","36,862.05",是
,,,,,,,,,,,否
,,,,,,,,,,,否
1000ETF,159629,2026-02-09,3.300,3.333,3.383,3.333,3.383,2.52,"7,488.09","25,229.92",是
1000ETF,159629,2026-02-10,3.383,3.382,3.392,3.361,3.384,0.03,"3,471.65","11,740.75",是
1000ETF,159629,2026-02-11,3.384,3.381,3.410,3.375,3.383,-0.03,"2,064.55","7,004.79",是
1000ETF,159629,2026-02-12,3.383,3.387,3.425,3.373,3.425,1.24,"4,421.98","15,055.75",是
1000ETF,159629,2026-02-13,3.425,3.407,3.414,3.356,3.365,-1.75,"13,272.78","44,871.65",是
,,,,,,,,,,,否
,,,,,,,,,,,否
,,,,,,,,,,,否
,,,,,,,,,,,否
,,,,,,,,,,,否
