证券名称,证券代码,交易日期,收盘价,涨跌幅(%),最高价,最低价,成交量(万份),成交额(万元),数据完整性
,,,,,,,,,否
,,,,,,,,,否
,,,,,,,,,否
,,,,,,,,,否
HS300ETF,510310,20260105,4.64,1.88845,4.65,4.58,24708.68,114147.2,是
HS300ETF,510310,20260106,4.714,1.59483,4.72,4.64,25261.01,118300.18,是
HS300ETF,510310,20260107,4.695,-0.40305,4.72,4.67,19387.98,91061.56,是
HS300ETF,510310,20260108,4.657,-0.80937,4.69,4.64,22854.03,106517.34,是
HS300ETF,510310,20260109,4.68,0.49388,4.7,4.64,28147.44,131362.19,是
,,,,,,,,,否
,,,,,,,,,否
HS300ETF,510310,20260112,4.708,0.59829,4.72,4.66,27863.95,130750.96,是
HS300ETF,510310,20260113,4.685,-0.48853,4.76,4.67,20194.64,95076.64,是
HS300ETF,510310,20260114,4.661,-0.51227,4.74,4.63,44636.32,209070.68,是
