交易日期,总成交额(万元)
20260105,764372.13
20260106,844909.48
20260107,704879.17
20260108,580846.81
20260109,917719.65
20260112,1034251.55
20260113,895828.13
20260114,1660400.96
20260115,4354639.49
20260116,6745001.19
20260119,3902327.95
20260120,3636573.36
20260121,6932361.76
20260122,5408734.25
20260123,9972771.41
20260126,8272766.15
20260127,4963261.25
20260128,11656980.93
20260129,4428937.21
20260130,1313435.59
20260202,2042844.08
20260203,837796.48
20260204,749344.30
20260205,651384.55
20260206,698981.52
20260209,500759.05
